"","Symbol","ensembl_id","top50","max_PropZero","PropZero_filter","rank_invar","Gene Type","t"
"10090","PHF6","ENSG00000156531",TRUE,0.90625,FALSE,NA,NA,81.9460896557921
"10091","HPRT1","ENSG00000165704",TRUE,0.919437340153453,FALSE,NA,"Classic HK",113.228348889362
"10092","MIR503HG","ENSG00000223749",FALSE,NA,FALSE,NA,NA,12.4014319272349
"10093","LINC00629","ENSG00000227060",FALSE,NA,FALSE,NA,NA,14.9945034347052
"10094","PLAC1","ENSG00000170965",FALSE,NA,FALSE,NA,NA,21.416307874576
"10095","FAM122B","ENSG00000156504",TRUE,0.96875,FALSE,NA,NA,56.1184942231593
"10096","FAM122C","ENSG00000156500",TRUE,0.96875,FALSE,NA,NA,63.0121353710419
"10097","MOSPD1","ENSG00000101928",FALSE,NA,FALSE,NA,NA,41.4040342604736
"10098","LINC02243","ENSG00000236091",FALSE,NA,FALSE,NA,NA,8.88392171213479
"10099","SMIM10","ENSG00000184785",FALSE,NA,FALSE,NA,NA,8.11913844780879
"10100","RTL8B","ENSG00000212747",FALSE,NA,FALSE,NA,NA,15.9091910018274
"10101","RTL8C","ENSG00000134590",TRUE,1,FALSE,NA,NA,57.9701861905866
"10102","RTL8A","ENSG00000203950",FALSE,NA,FALSE,NA,NA,30.8857501171063
"10103","SMIM10L2B-AS1","ENSG00000228372",FALSE,NA,FALSE,NA,NA,14.6911590793162
"10104","SMIM10L2B","ENSG00000196972",FALSE,NA,FALSE,NA,NA,38.0687734977298
"10105","CT55","ENSG00000169551",FALSE,NA,FALSE,NA,NA,17.2828734433642
"10106","ZNF75D","ENSG00000186376",TRUE,0.878787878787879,FALSE,NA,NA,68.3028133793542
"10107","ZNF449","ENSG00000173275",TRUE,1,FALSE,NA,NA,61.2758112987522
"10108","SMIM10L2A","ENSG00000178947",FALSE,NA,FALSE,NA,NA,38.8284496620062
"10109","INTS6L","ENSG00000165359",TRUE,0.935483870967742,FALSE,NA,NA,76.1325234691982
"10110","MMGT1","ENSG00000169446",FALSE,NA,FALSE,NA,NA,37.6706135479649
"10111","SLC9A6","ENSG00000198689",TRUE,0.909090909090909,FALSE,NA,NA,91.5805633186647
"10112","FHL1","ENSG00000022267",TRUE,1,FALSE,NA,NA,101.513024710163
